ProductID,ProductName,QuantityInStock,CostPrice,SellingPrice,DepartmentID
33311,GripsetBetta1LBitumenRubberWaterproofingmembrane-1L,124,12,27,1
33312,Empak4x25m250muBlackPolythene,131,45,87,1
33313,Masons150mmx25mHydroWindowTap,50,10,23,1
33314,Cemix20kgCemsplash,61,11,24,1
33315,Cemix20kgCemsplaster,54,8,17,1
33316,HomEntrySectionalGarageDoorOpener,19,215,416,1
33317,Richmond40mmxM14NylonSlidingGateRoller,56,5,12,1
33318,Richmond24V30WGateSolarPanel,25,132,287,1
33319,SelleysSpakfillaRapid180g-180g,55,6,17,1
33320,PSL635x535mmCeilingHatch,9,85,154,1
33321,SkyApprovedCableCoax,81,158,299,2
33322,BalcomTerminalConnectorStrips20amp10mm,21,2,9,2
33323,Jackson EthernetCable5m,80,3,13,2
33324,GoldairPlatinum ConvectorPanelHeaterwithWifi2kW,32,240,499,2
33325,GoldairPlatinum ConvectorPanelHeaterwithWiFiWhite,41,312,567,2
33326,Number8 PersonalSafelyAlarmWhite,60,4,15,2
33327,Swann DrivewayAlertKit,45,32,67,2
33328,Cordtech 940-2030mm(37-80inch)FullMotionTVMount,52,41,93,2
33329,Nouveau SolarSecuritySensor3PanelLight4Watt,13,62,103,2
33330,OrbitLighting SecurityLight10Watts,31,21,54,2
33331,Philips LightbulbWarmWhite100WattWarmwhite,41,2,11,2
33332,Intex LumoHeavyDutyTripod1.1to2.1mBlack,18,51,111,2
33333,Tradesman PortableWorkLight24LEDHandheld,35,3,13,2
33334,Stanley ExtensionCordWithIndicatorLight20mYellow,22,25,53,2
33335,LavenderMajor10.5cmPurple,35,1,6,3
33336,RaspberryDwarfMini-me1.9litre,83,13,35,3
33337,BlackPassionFruit100mm,51,2,9,3
33338,CitrusFingerLime1.9LitreGreen,42,4,13,3
33339,FeijoaAntoinettePVR3litre,31,4,17,3
33340,TomatoSweet100100mm,65,1,6,3
33341,IrrigationStarterKit,37,3,16,3
33342,LandscapeDripLine100mBrown,5,37,175,3
33343,PartCircleImpactSprinkler15mmBlack,60,7,25,3
33344,360DegreeImpactSprinkler20mmBlack,57,8,29,3
33345,Rite4GardenShed2.28x1.83mEbony,4,354,725,3
33346,InsectPestControlSpray2.2litre,11,7,31,3
33347,PlasticHangingBasket20cmBlack,71,1,7,3
33348,Porter's4LFrenchGreenEggshellFinishBroadwallWashablePaint-4L,24,38,173,4
33349,DuluxRoofAndTrim10LNewDenimBlueSemiGlossPaint,32,123,313,4
33350,Dulux4LVividWhiteLowSheenWeathershieldExteriorPaint-4L,11,43,137,4
33351,Spring4LWhiteSemiGlossInterior/ExteriorPaint-4L,27,5,39,4
33352,BritishPaints500mlWhiteLowSheen4SeasonsExteriorPaint,10,2,33,4
33353,Dulux10LEbonyTimbacrylLowSheenExteriorPaint,8,31,199,4
33354,Dulux4LInteriorPaintWash&Wear+PLUSKitchen&BathroomLowSheenVividWhite-4L,19,27,157,4
33355,DuluxWash&Wear10LLowSheenInteriorPaint-Cardrona,4,67,238,4
33356,Bostik250gPlasticPlumbersPuttySealer,32,3,17,5
33357,Holdfast1mPlumbersHemp,93,2,8,5
33358,Uni-Flax40gPlumbersHemp,115,4,19,5
33359,Rectorseal59mlPlumbersGrease,54,5,27,5
33360,PlumbestMultiFitExtendableTrapWithWaste,42,3,15,5
33361,Tradeflame85gPlumbingSolder,53,7,33,5
33362,BOSTON12mmx6mPinkHighDensityPlumbersThreadSealTape,100,1,5,5
33363,Specrite1200x600x18mmTimberMultiUsePinePanel,43,6,47,6
33364,SpecRite2400x26x21mmWalnutAcousticPanelEndCap,53,3,19,6
33365,2200x600x25mmPrempanelLaminatedBambooPanel,15,23,137,6
33366,Hydrapanel3000x1200x7.6mmWallAndCeilingPanel,7,65,293,6
33367,TradeEssentials2440x1220x4.75mmLakepineMDF,11,5,29,6
33368,SpecRite2400x26x21mmBlackOakAcousticPanelEndCap,61,4,21,6
